m,n,k,avg
0,2523,425,1605,0.0880684
0,32,3703,163,0.0109861
0,2916,1736,819,0.238078
0,425,1081,3834,0.104607
0,3572,1736,294,0.0998474
0,1081,819,2523,0.129497
0,163,1343,3572,0.0508859
0,950,1081,1081,0.0714877
0,32,1212,2523,0.0157065
0,425,3047,425,0.0397037
0,32,2654,3572,0.0426226
0,819,1998,32,0.00837471
0,2392,3572,1998,0.893959
0,1081,2523,687,0.118973
0,687,294,3178,0.0418159
0,1867,425,425,0.0248447
0,3047,32,2916,0.0419602
0,556,1474,163,0.00803189
0,2130,3047,3178,1.13041
0,1343,556,3703,0.200493
0,556,163,2130,0.0157779
0,32,3178,819,0.0153222
0,1736,1081,2916,0.323394
0,425,1867,1212,0.0521428
0,4096,3441,32,0.074126
0,2392,32,163,0.00183099
0,1081,1605,425,0.0475517
0,2654,2523,1474,0.519526
0,2261,687,1212,0.108376
0,3441,1605,294,0.0865306
0,3834,2916,163,0.0780683
0,163,2654,3309,0.109959
0,2130,819,2261,0.246168
0,2261,819,950,0.0991684
0,1736,2261,2261,0.514388
0,950,1605,425,0.0326338
0,819,1474,3572,0.251587
0,294,294,3572,0.0216917
0,687,1605,556,0.0377713
0,1867,687,2523,0.19343
0,1474,3047,163,0.0350778
0,687,819,2523,0.0877755
0,163,950,425,0.00471869
0,1343,1867,1081,0.150015
0,1736,294,1867,0.0548288
0,2916,425,163,0.012774
0,32,556,1474,0.00564513
0,1212,1474,32,0.00644431
0,425,1343,2654,0.0823108
0,2392,556,1343,0.112116
0,1605,163,2916,0.0524214
0,2261,163,2392,0.0672109
0,3441,32,950,0.019405
0,3178,2130,294,0.0964911
0,32,1474,3965,0.0270171
0,3441,3309,1736,1.12138
0,819,3047,1867,0.245216
0,294,819,32,0.00120918
0,687,32,425,0.00161504
0,1867,163,1867,0.0423827
0,2654,556,819,0.0747906
0,1343,294,687,0.0187547
0,556,425,3572,0.0528209
0,2916,687,2785,0.344755
0,32,3441,425,0.016794
0,950,163,3572,0.0476942
0,425,819,2523,0.0579155
0,3572,1474,32,0.0217858
0,3703,3047,32,0.0456333
0,2916,2654,1605,0.706881
0,3309,425,1736,0.157572
0,556,2130,1736,0.112171
0,950,1867,1867,0.185884
0,1212,2392,1998,0.345906
0,425,2785,687,0.0564288
0,2392,3834,1212,0.598359
0,294,32,2654,0.00351462
0,2523,32,3047,0.0266535
0,687,556,3965,0.0939301
0,1998,3047,32,0.0288336
0,163,687,3703,0.0345842
0,556,1212,425,0.0197943
0,1343,819,294,0.0222796
0,1736,32,687,0.00668734
0,2916,163,3178,0.104292
0,32,819,556,0.00271774
0,425,1605,1474,0.0669002
0,1212,425,1343,0.0427763
0,2392,294,950,0.041956
0,1605,425,1736,0.0757802
0,2785,1605,32,0.0204331
0,1081,1343,163,0.0162059
0,294,2523,2523,0.120566
0,2523,2654,163,0.0511331
0,3309,1474,556,0.13537
0,1736,3834,32,0.0251574
0,425,2261,294,0.0177146
0,819,2785,687,0.111408
0,294,556,3309,0.0357338
0,687,1867,819,0.0619689
0,294,1867,1343,0.0424091
0,687,3178,1736,0.214963
0,163,163,163,0.00031838
0,1343,32,1343,0.00797782
0,2523,425,3047,0.212451
0,163,1474,2392,0.0399672
0,32,3703,1081,0.0331302
0,3703,1081,2261,0.486137
0,950,425,2654,0.0639062
0,32,294,1212,0.00209447
0,1212,687,294,0.0142889
0,425,1081,2916,0.0855391
0,32,1081,3441,0.0216983
0,1998,2261,32,0.020048
0,2785,32,950,0.0134733
0,3965,163,1343,0.0419728
0,2654,2785,556,0.245189
0,3441,294,163,0.0080465
0,2130,32,2654,0.0273748
0,3178,1867,32,0.0240899
0,1867,950,1736,0.176081
0,556,2392,2392,0.167999
0,32,1212,3703,0.0222772
0,950,2916,32,0.0114069
0,1212,2130,3441,0.535014
0,425,3047,1343,0.0995524
