m,n,k,avg,std
9648,2001,645,260,0.0196827,0.00984651
9664,3423,3788,461,0.391538,0.0228662
9680,1812,67,3201,0.0309749,0.0198317
9696,3734,3740,3018,2.30777,0.00996943
9712,3573,2312,77,0.040496,0.00837891
9728,1889,2320,1767,0.434407,0.00315397
9744,3530,3930,2494,1.90407,0.00303206
9760,2643,4079,1863,1.11089,0.00205199
9776,2257,1348,3172,0.546813,0.00296326
9792,3436,2907,3841,2.12517,0.00129567
9808,793,2636,3722,0.454094,0.00967829
9824,831,45,631,0.00211168,0.0261549
9840,1540,324,2571,0.0822625,0.00977311
9856,4066,3601,310,0.251354,0.00669507
9872,53,1396,3447,0.0248562,0.0115818
9888,3994,835,48,0.0129254,0.0235394
9904,385,2971,171,0.0121903,0.00987627
9920,2857,2535,3065,1.25237,0.00230449
9936,2623,210,3966,0.149655,0.00968952
9952,799,508,3932,0.0992089,0.00963682
